8, Jackson Smith, Amazon, 7J3Ibu2E, 392.5680897020966, Truck has more crates to unload.
9, Jackson Smith, Amazon, Xfml68mx, 220.53662604058687, Truck has more crates to unload.
10, Jackson Smith, Amazon, muJZlXgg, 249.9898654136613, Truck has more crates to unload.
11, Jackson Smith, Amazon, ZTxAkSYg, 62.33858314725518, Truck has more crates to unload.
12, Jackson Smith, Amazon, XJ0Nvvkr, 418.1342072752669, Truck has more crates to unload.
13, Jackson Smith, Amazon, eV0DKIfy, 465.95348864174053, Truck has more crates to unload.
14, Jackson Smith, Amazon, pKUnRdfA, 124.26125391654737, Truck has more crates to unload.
15, Jackson Smith, Amazon, kfvgR1tg, 488.416533189065, Truck has more crates to unload.
16, Jackson Smith, Amazon, xOm4K36n, 360.0669363595878, Truck has more crates to unload.
17, Jackson Smith, Amazon, MPv2Da0W, 361.26389495350463, Truck has more crates to unload.
18, Jackson Smith, Amazon, 4dtTpTGM, 150.6998084815064, Truck has more crates to unload.
19, Jackson Smith, Amazon, bMw2PYtt, 105.21229451372969, Truck has more crates to unload.
20, Jackson Smith, Amazon, 8oamTiRc, 102.9173462937738, Truck has more crates to unload.
21, Jackson Smith, Amazon, axg0bwPi, 447.7643169252286, Truck has more crates to unload.
22, Jackson Smith, Amazon, 7XSYapaV, 497.60405568595144, Truck has more crates to unload.
23, Jackson Smith, Amazon, ODIhk7wk, 269.718188981833, Truck has more crates to unload.
24, Jackson Smith, Amazon, 0KrIYuJR, 278.2170069860018, Truck has more crates to unload.
25, Jackson Smith, Amazon, IgDzkJgt, 487.93060026647055, Truck has more crates to unload.
26, Jackson Smith, Amazon, IgyXe4Ky, 151.66074789178353, Truck has more crates to unload.
27, Jackson Smith, Amazon, NWy6xNuY, 298.29885731192195, Truck has more crates to unload.
28, Jackson Smith, Amazon, uufOuowv, 474.12244205509415, Truck was unloaded new truck in dock already.
29, Eric Rogers, FedEx, r8aS4Drr, 91.79520254758529, Truck has more crates to unload.
30, Eric Rogers, FedEx, U8HtJBTH, 286.550699293469, Truck has more crates to unload.
31, Eric Rogers, FedEx, u692xKGa, 443.24324623556896, Truck has more crates to unload.
32, Eric Rogers, FedEx, yHyYrUGc, 412.4597126546229, Truck has more crates to unload.
33, Eric Rogers, FedEx, m7dKCotZ, 135.71664939521418, Truck has more crates to unload.
34, Eric Rogers, FedEx, SVowREdO, 190.3705301996376, Truck has more crates to unload.
35, Eric Rogers, FedEx, VDcslWuB, 103.52476040958793, Truck has more crates to unload.
36, Eric Rogers, FedEx, 6hZwTtAt, 453.49767779347525, Truck has more crates to unload.
37, Eric Rogers, FedEx, bIhP59JN, 170.70269800517474, Truck has more crates to unload.
38, Eric Rogers, FedEx, WIaegTII, 270.4357650141729, Truck has more crates to unload.
39, Eric Rogers, FedEx, GgetxGBf, 331.4125732288782, Truck was unloaded new truck in dock already.
40, Kyle Fulkerson, Amazon, JVnFmIIP, 269.86930980231784, Truck has more crates to unload.
41, Kyle Fulkerson, Amazon, PeGeSxvh, 148.6072759981568, Truck has more crates to unload.
42, Kyle Fulkerson, Amazon, 7o1HdP0U, 494.39934847595094, Truck has more crates to unload.
43, Kyle Fulkerson, Amazon, wo9Iel3p, 119.71894468946681, Truck has more crates to unload.
44, Kyle Fulkerson, Amazon, SYPkwA0b, 354.48988263046175, Truck has more crates to unload.
45, Kyle Fulkerson, Amazon, xy8IoR6b, 107.70253427674577, Truck has more crates to unload.
46, Kyle Fulkerson, Amazon, 2c840bcb, 485.8728779834128, Truck has more crates to unload.
47, Kyle Fulkerson, Amazon, p9NM9ecH, 319.33499495308257, Truck has more crates to unload.
48, Kyle Fulkerson, Amazon, geMdDwYK, 124.64585938687422, Truck has more crates to unload.
49, Kyle Fulkerson, Amazon, hKPTDIJc, 202.77413232879272, Truck has more crates to unload.
50, Kyle Fulkerson, Amazon, e4RKCGCk, 290.16835385873094, Truck has more crates to unload.
51, Kyle Fulkerson, Amazon, rrt3AmK2, 195.50846246990878, Truck has more crates to unload.
52, Kyle Fulkerson, Amazon, 1g6xUM79, 361.3015786382202, Truck has more crates to unload.
53, Kyle Fulkerson, Amazon, xFKyTWau, 227.22358028096528, Truck has more crates to unload.
54, Kyle Fulkerson, Amazon, bBO8miwX, 496.30697628352766, Truck was unloaded new truck in dock already.
